Customer ID,Name,Phone,Contact Last Name,Contact First Name
1,Land of Toys Inc.,2125557818,Yu,Kwai
2,Reims Collectables,26.47.1555,Henriot,Paul
3,Lyon Souveniers,+33 1 46 62 7555,Da Cunha,Daniel
4,Toys4GrownUps.com,6265557265,Young,Julie
5,Corporate Gift Ideas Co.,6505551386,Brown,Julie
6,Technics Stores Inc.,6505556809,Hirano,Juri
7,Daedalus Designs Imports,20.16.1555,Rance,Martine
8,Herkku Gifts,+47 2267 3215,Oeztan,Veysel
9,Mini Wheels Co.,6505555787,Murphy,Julie
10,Auto Canal Petit,(1) 47.55.6555,Perrier,Dominique
11,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
12,Vitachrome Inc.,2125551500,Frick,Michael
13,Tekni Collectables Inc.,2015559350,Brown,William
14,Gift Depot Inc.,2035552570,King,Julie
15,La Rochelle Gifts,40.67.8555,Labrune,Janine
16,Marta's Replicas Co.,6175558555,Hernandez,Marta
17,"Toys of Finland, Co.",90-224 8555,Karttunen,Matti
18,Baane Mini Imports,07-98 9555,Bergulfsen,Jonas
19,Diecast Classics Inc.,2155551555,Yu,Kyung
20,Salzburg Collectables,6562-9555,Pipps,Georg
21,Souveniers And Things Co.,+61 2 9495 8555,Huxley,Adrian
22,FunGiftIdeas.com,5085552555,Benitez,Violeta
23,"UK Collectables, Ltd.",(171) 555-2282,Devon,Elizabeth
24,Euro Shopping Channel,(91) 555 94 44,Freyre,Diego
25,"Volvo Model Replicas, Co",0921-12 3555,Berglund,Christina
26,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
27,"Dragon Souveniers, Ltd.",+65 221 7555,Natividad,Eric
28,Classic Legends Inc.,2125558493,Hernandez,Maria
29,"Australian Gift Network, Co",61-7-3844-6555,Calaghan,Tony
30,"Classic Gift Ideas, Inc",2155554695,Cervantes,Francisca
31,"Saveley & Henriot, Co.",78.32.5555,Saveley,Mary
32,Canadian Gift Exchange Network,(604) 555-3392,Tannamuri,Yoshi
33,West Coast Collectables Co.,3105553722,Thompson,Steve
34,Cambridge Collectables Co.,6175555555,Tseng,Kyung
35,Super Scale Inc.,2035559545,Murphy,Leslie
36,"Tokyo Collectables, Ltd",+81 3 3584 0555,Shimamura,Akiko
37,Amica Models & Co.,011-4988555,Accorti,Paolo
38,Scandinavian Gift Ideas,0695-34 6555,Larsson,Maria
39,Auto Assoc. & Cie.,30.59.8555,Tonini,Daniel
40,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
41,Online Diecast Creations Co.,6035558647,Young,Valarie
42,Collectables For Less Inc.,6175558555,Nelson,Allen
43,"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna
44,Quebec Home Shopping Network,(514) 555-8054,Fresnisre,Jean
45,Osaka Souveniers Co.,+81 06 6342 5555,Kentary,Mory
